user_id,song_id,spotify_popularity,track_name,danceability,energy,key,mode,acousticness,instrumentalness,valence,tempo,time_signature,track_genre,Rating
3720277,32192,87,Comedy,0.676,0.461,1,0,0.0322,1.01E-06,0.715,87.917,4,acoustic,5
3720277,6801,45,Ghost - Acoustic,0.42,0.166,1,1,0.924,5.56E-06,0.267,77.489,4,acoustic,5
3720277,31643,62,To Begin Again,0.438,0.359,0,1,0.21,0,0.12,76.332,4,acoustic,4.5
3720277,1864239,72,Can't Help Falling In Love,0.266,0.0596,0,1,0.905,7.07E-05,0.143,181.74,3,acoustic,4
3720277,38804,73,Hold On,0.618,0.443,2,1,0.469,0,0.167,119.949,4,acoustic,5
3720277,1788945,69,Days I Will Remember,0.688,0.481,6,1,0.289,0,0.666,98.017,4,acoustic,2.5
3720277,7118,59,Say Something,0.407,0.147,2,1,0.857,2.89E-06,0.0765,141.284,3,acoustic,5
3720277,3321467,60,I'm Yours,0.703,0.444,11,1,0.559,0,0.712,150.96,4,acoustic,2.5
3720277,28739,85,Lucky,0.625,0.414,0,1,0.294,0,0.669,130.088,4,acoustic,2
3720277,1028,69,Hunger,0.442,0.632,1,1,0.426,0.00419,0.196,78.899,4,acoustic,2
3720277,7355,80,Give Me Your Forever,0.627,0.363,8,1,0.279,0,0.301,99.905,4,acoustic,3
3720277,1886589,68,I Won't Give Up,0.483,0.303,4,1,0.694,0,0.139,133.406,3,acoustic,1.5
3720277,254,91,Solo,0.489,0.314,7,0,0.749,0,0.607,124.234,4,acoustic,4.5
3720277,38729,60,Bad Liar,0.691,0.234,3,1,0.777,0,0.209,87.103,4,acoustic,2.5
3720277,1826987,62,Hold On - Remix,0.755,0.78,2,1,0.124,2.83E-05,0.387,120.004,4,acoustic,5
3720277,2290955,73,Falling in Love at a Coffee Shop,0.489,0.561,4,1,0.2,4.56E-05,0.238,83.457,3,acoustic,5
3720277,4771945,60,ily (i love you baby),0.706,0.112,2,1,0.827,4.03E-06,0.414,110.154,4,acoustic,5
3720277,38666,15,At My Worst,0.795,0.0841,10,0,0.742,1.17E-05,0.609,91.803,4,acoustic,5
3720277,2878565,60,Lucky,0.625,0.414,0,1,0.294,0,0.669,130.088,4,acoustic,5
3720277,91297,82,Photograph,0.717,0.32,3,1,0.83,0,0.322,107.946,4,acoustic,4.5
3720277,1875980,65,I'm Yours,0.703,0.444,11,1,0.559,0,0.712,150.96,4,acoustic,3
3720277,4201274,57,Demons,0.678,0.351,0,1,0.747,0,0.569,90.032,4,acoustic,5
3720277,4216698,66,Say Something,0.407,0.147,2,1,0.857,2.89E-06,0.0765,141.284,3,acoustic,4
3720670,31887,56,93 Million Miles,0.572,0.454,3,1,0.477,1.37E-05,0.515,140.182,4,acoustic,3
3720277,1916580,62,Unlonely,0.796,0.667,5,0,0.381,0,0.754,97.988,4,acoustic,3
3720277,37631,71,Bella Luna,0.755,0.454,9,0,0.757,0,0.33,120.06,4,acoustic,5
3720277,6081,70,Winter Wonderland,0.62,0.309,5,1,0.788,0,0.664,145.363,4,acoustic,3.5
3720277,1828986,56,If It Kills Me,0.633,0.429,4,0,0.0444,0,0.52,143.793,4,acoustic,5
3721232,155006,53,Winter Wonderland,0.62,0.309,5,1,0.788,0,0.664,145.363,4,acoustic,0.5
3720277,1804425,75,Winter Wonderland,0.62,0.309,5,1,0.788,0,0.664,145.363,4,acoustic,2
3721232,7069,59,Winter Wonderland,0.62,0.309,5,1,0.788,0,0.664,145.363,4,acoustic,3.5
3721232,10298,70,Winter Wonderland,0.62,0.309,5,1,0.788,0,0.664,145.363,4,acoustic,0.5
3721232,596658,40,All I Want For Christmas Is A Real Good Tan,0.593,0.455,6,1,0.366,0,0.564,202.019,4,acoustic,5
3721232,4405563,39,Party of One,0.296,0.206,0,1,0.782,0.000225,0.202,165.4,4,acoustic,4
3720277,2975194,64,Party of One,0.296,0.206,0,1,0.782,0.000225,0.202,165.4,4,acoustic,2
3720277,14726,73,Party of One,0.296,0.206,0,1,0.782,0.000225,0.202,165.4,4,acoustic,1.5
3720277,4056,86,Lonely This Christmas,0.409,0.153,6,0,0.939,2.56E-05,0.18,85.262,4,acoustic,0.5
3721232,1892220,52,Throwing Good After Bad,0.501,0.0952,2,1,0.963,1.58E-05,0.316,138.016,4,acoustic,0.5
3720277,152358,48,This Time Tomorrow,0.606,0.326,10,1,0.841,0,0.414,91.626,4,acoustic,4.5
3721232,2142,70,Lonely This Christmas,0.409,0.153,6,0,0.939,2.56E-05,0.18,85.262,4,acoustic,4.5
3721232,1754197,56,The Haves,0.474,0.519,7,1,0.281,0,0.326,151.832,4,acoustic,5
3721232,3306538,55,When You're Wrong,0.568,0.301,10,0,0.796,3.37E-06,0.142,88.029,4,acoustic,3
3721232,1038633,0,You and Me on the Rock,0.568,0.686,1,1,0.15,1.81E-06,0.725,172.075,4,acoustic,2.5
3720277,1784056,50,You and Me on the Rock,0.568,0.686,1,1,0.15,1.81E-06,0.725,172.075,4,acoustic,5
3721232,4245094,49,"Speak Your Mind (From the Netflix Series ""We The People"")",0.476,0.666,6,1,0.314,0,0.498,148.155,4,acoustic,5
3721232,2298109,25,You and Me on the Rock,0.568,0.686,1,1,0.15,1.81E-06,0.725,172.075,4,acoustic,4
3720277,2716602,0,You and Me on the Rock,0.568,0.686,1,1,0.15,1.81E-06,0.725,172.075,4,acoustic,5
3720277,1891927,71,You and Me on the Rock,0.568,0.686,1,1,0.15,1.81E-06,0.725,172.075,4,acoustic,4
3720277,34154,66,You and Me on the Rock,0.568,0.686,1,1,0.15,1.81E-06,0.725,172.075,4,acoustic,2
3720277,21889,54,You and Me on the Rock,0.568,0.686,1,1,0.15,1.81E-06,0.725,172.075,4,acoustic,5
3720277,1147,75,Trampoline - Acoustic,0.596,0.2,0,0,0.91,0.000183,0.308,107.893,4,acoustic,5
3721232,9439,65,透明だった世界,0.373,0.914,0,1,0.076,0,0.56,168.21,4,acoustic,5
3721232,45486,0,Pieces,0.494,0.652,6,0,0.0754,0.00256,0.298,137.018,4,acoustic,5
3721232,3123,71,A Drop in the Ocean,0.447,0.393,5,1,0.785,0,0.564,73.139,3,acoustic,5
3721232,4125304,71,So Far Away - Acoustic,0.576,0.331,6,0,0.894,3.44E-05,0.407,149.02,4,acoustic,0.5
3721232,58686,44,The Enemy,0.536,0.89,1,1,0.078,0.0202,0.273,121.974,4,acoustic,4
3720277,1896097,48,Build It Better,0.526,0.333,4,1,0.91,0.168,0.159,94.951,4,acoustic,3.5
3721232,281357,40,Sleepwalking in the Rain,0.501,0.381,0,1,0.687,0.00133,0.502,80.075,4,acoustic,5
3721232,1986743,16,Gravity,0.27,0.275,0,1,0.834,0,0.231,168.964,4,acoustic,5
3720277,1841530,62,What's Left of You,0.731,0.507,0,1,0.572,0,0.265,117.969,4,acoustic,5
3720277,1763031,86,Pano,0.375,0.457,3,1,0.868,0.0145,0.415,174.839,3,acoustic,4.5
3721232,20121,54,Sky's Still Blue,0.43,0.791,6,0,0.0726,0.0193,0.217,171.864,4,acoustic,5
3720277,1652,64,And I Love Her,0.616,0.282,1,1,0.983,0.833,0.435,96.638,4,acoustic,
3720277,334,78,We Can't Stop,0.705,0.347,2,1,0.674,0,0.36,80.057,4,acoustic,2
3720277,277203,32,Always Be My Baby,0.582,0.255,4,1,0.772,0,0.285,139.884,4,acoustic,3
3720277,381677,39,Alone with You,0.549,0.274,1,1,0.798,6.63E-06,0.207,86.664,4,acoustic,5
3720277,208048,74,Making All Things New,0.787,0.355,0,1,0.896,0.0201,0.48,99.978,4,acoustic,5
3720277,4527180,52,She Used To Be Mine,0.397,0.303,5,1,0.381,0,0.172,81.05,4,acoustic,2.5
3720277,350248,47,In My Veins - Feat. Erin Mccarley,0.548,0.42,0,1,0.198,4.46E-06,0.196,128.012,4,acoustic,2.5
3720277,2362883,62,I Don't Wanna Live Forever (Fifty Shades Darker),0.787,0.403,0,1,0.603,0.00857,0.264,118.042,4,acoustic,0.5
3720277,980790,56,A Drop In the Ocean,0.484,0.573,5,1,0.0882,1.14E-06,0.346,139.966,3,acoustic,4
3720277,24668,79,Superman (It's Not Easy),0.382,0.416,0,1,0.0733,0,0.125,102.089,4,acoustic,4
3720277,24658,57,When the End Comes,0.541,0.575,9,1,0.677,0.215,0.428,91.98,4,acoustic,2.5
3720277,3342082,63,You're Still The One,0.607,0.473,2,1,0.712,0,0.54,119.698,4,acoustic,5
3720277,4197777,57,Light Me Up,0.417,0.595,6,1,0.158,0.000269,0.117,147.928,4,acoustic,5
3720277,2781809,56,93 Million Miles,0.572,0.454,3,1,0.477,1.37E-05,0.515,140.182,4,acoustic,2.5
3720277,4367118,37,Kaleidoscope,0.709,0.913,7,1,0.0182,0,0.519,108.024,4,acoustic,4
3720277,3064779,55,The Long Road,0.537,0.342,2,1,0.645,0.266,0.253,109.236,4,acoustic,0.5
3720277,50600,60,What Would I Do Without You,0.602,0.336,8,1,0.883,0.0017,0.335,90.894,4,acoustic,
3720277,3655963,44,Have It All,0.643,0.638,1,0,0.204,0,0.6,82.001,4,acoustic,1
3720277,4690444,51,Heavy Heart,0.451,0.7,10,0,0.455,0.00233,0.37,150.055,4,acoustic,5
3720277,4227953,93,The House We Never Built,0.546,0.391,2,0,0.784,2.72E-06,0.202,139.669,4,acoustic,5
3720277,7524,74,Society,0.561,0.327,11,0,0.902,0.000469,0.298,161.858,4,acoustic,3
3720277,715,66,Please Don't Say You Love Me,0.479,0.541,0,1,0.74,0,0.3,85.994,4,acoustic,2
3720277,12296,55,Please Don't Say You Love Me,0.479,0.541,0,1,0.74,0,0.3,85.994,4,acoustic,2.5
3720277,12287,43,Guaranteed,0.436,0.4,7,1,0.904,0.00105,0.351,100.734,4,acoustic,1
3720277,1094,75,Brave,0.551,0.836,10,0,0.00502,2.10E-05,0.758,185.063,4,acoustic,3
3720277,3017,68,Lonely This Christmas,0.409,0.153,6,0,0.939,2.56E-05,0.18,85.262,4,acoustic,5
3720277,32137,80,Lonely This Christmas,0.409,0.153,6,0,0.939,2.56E-05,0.18,85.262,4,acoustic,2.5
3720277,1822747,62,Heaven Knows,0.6,0.845,10,1,0.048,0,0.392,97.631,4,acoustic,5
3720277,1830214,90,I Heard The Bells On Christmas Day,0.492,0.145,2,0,0.872,9.68E-06,0.218,90.078,4,acoustic,0.5
3720277,4289696,62,I Heard The Bells On Christmas Day,0.492,0.145,2,0,0.872,9.68E-06,0.218,90.078,4,acoustic,3.5
3720277,4179913,81,Fairytale Of New York,0.447,0.555,2,1,0.218,3.46E-06,0.33,117.888,3,acoustic,5
3720277,151950,82,I Heard The Bells On Christmas Day,0.492,0.145,2,0,0.872,9.68E-06,0.218,90.078,4,acoustic,5
3720277,70449,61,I Heard The Bells On Christmas Day,0.492,0.145,2,0,0.872,9.68E-06,0.218,90.078,4,acoustic,4.5
3720277,65685,33,I Heard The Bells On Christmas Day,0.492,0.145,2,0,0.872,9.68E-06,0.218,90.078,4,acoustic,2.5
3720277,68613,46,I Heard The Bells On Christmas Day,0.492,0.145,2,0,0.872,9.68E-06,0.218,90.078,4,acoustic,5
3720277,1916516,38,I Heard The Bells On Christmas Day,0.492,0.145,2,0,0.872,9.68E-06,0.218,90.078,4,acoustic,1.5
3720277,4221486,63,Hold On,0.661,0.937,4,0,0.322,1.04E-06,0.805,105.549,4,acoustic,2
3720277,16620,70,Suddenly I See,0.603,0.78,0,1,0.139,0,0.693,100.499,4,acoustic,4
3720277,4668026,55,Rain,0.626,0.655,9,1,0.503,0,0.542,92.003,4,acoustic,1
3720277,52215,34,Somebody Else - Acoustic,0.794,0.38,10,0,0.762,0,0.617,114.99,4,acoustic,2
3720277,182927,34,Pieces (Hushed),0.52,0.279,5,0,0.894,0.000105,0.0951,69.642,4,acoustic,4.5
3720277,2656713,48,Mirrors,0.545,0.658,1,1,0.496,0,0.683,76.971,4,acoustic,2.5
3720277,1764173,71,Stand by Me,0.728,0.266,8,1,0.872,1.03E-05,0.307,115.189,4,acoustic,1
3720277,281357,40,Losing Me,0.66,0.407,7,1,0.236,0,0.257,133.86,4,acoustic,1
3720277,2531732,50,なんでもないや - movie ver.,0.357,0.161,8,1,0.971,1.40E-05,0.325,83.449,4,acoustic,3.5
3720277,4338332,66,You’re Beautiful - Acoustic,0.479,0.154,2,1,0.915,0,0.36,147.207,4,acoustic,2
3720277,4292046,38,Hikare Inochi,0.592,0.769,2,1,0.319,4.66E-06,0.385,102.033,4,acoustic,2
3720277,3325141,74,How To Lose a Girl,0.7,0.454,7,0,0.55,0.0022,0.34,80.011,3,acoustic,2
3720277,12366,60,Can’t Help Falling in Love,0.402,0.197,5,1,0.858,1.05E-06,0.148,100.044,3,acoustic,4.5
3720277,47796,55,Dive Deep (Hushed),0.507,0.378,9,1,0.852,0.000212,0.085,135.86,4,acoustic,2.5
3720277,1889905,47,When the Party's over (Acoustic Piano),0.619,0.226,4,1,0.959,4.42E-05,0.188,124.96,3,acoustic,3
